filename,mawb,consignee,shipper,wieght,Origin,nature OF good,dest,agent
/home/arya/Desktop/shipmnts/OTH-M/2110/1.jpg,[u'057-62726635'],"[u'', u'Jeena', u'and', u'Company']",None,"[u'588,00']",,ALUMINIUM FOIL - |,BOM,
/home/arya/Desktop/shipmnts/OTH-M/2110/3.jpg,[u'157-34810602'],"[u'', u'Jeena', u'and', u'Company']",None,"[u'2672,00']",,SET OF PILATES TINC,MAA,
/home/arya/Desktop/shipmnts/OTH-M/2110/10.jpg,[u'020-79034830'],"[u'', u'', u'Jeena', u'&', u'Company']",None,"[u'25,00']",,CEMENT PREMIUM - |,HYD,
/home/arya/Desktop/shipmnts/OTH-M/2110/4.jpg,[u'235-70611192'],"[u'', u'Jeena', u'and', u'Company']",None,"[u'87,00']",,LAB INSTRUMENTS -,BOM,
/home/arya/Desktop/shipmnts/OTH-M/2110/2.jpg,[u'235-70730656'],"[u'', u'Jeena', u'and', u'Company']",None,"[u' 11.04', u' 615.00']",,P C A/2017/013 006:,BOM,
/home/arya/Desktop/shipmnts/OTH-M/2110/7.jpg,[u'020-45820084'],"[u'', u'Jeena', u'and', u'Company']",None,"[u'79,00']",,GEAR PARTS,MAA,
/home/arya/Desktop/shipmnts/OTH-M/2110/5.jpg,[u'157-37258314'],"[u'', u'', u'Jeena', u'&', u'Company']",None,"[u' 05.04', u' 2000.00']",,"SCREWS, BARREL .",BLR,
/home/arya/Desktop/shipmnts/OTH-M/2110/9.jpg,[u'057-62726602'],"[u'', u'Jeena', u'and', u'Company']",None,[u' 23.03'],,PLASTIC PRODUCTS,BOM,
/home/arya/Desktop/shipmnts/OTH-M/978/6.jpg,[u'000 0000 0556 '],None,"[u'HEMOCUE', u'AB', u'CONS:']","[u'100,00', u'50,00', u'500,00', u'500,00']",261,MEDICAL TEST EOQOP,,"[u':', u'CARGO', u'AG']"
/home/arya/Desktop/shipmnts/OTH-M/978/8.jpg,[u'000 0000 0556 '],None,"[u'HEMOCUE', u'AB']","[u'100,00', u'50,00', u'500,00', u'500,00']",261,MEDICAL TEST EOP,,"[u':', u'LUFTHANSA', u'CARGO', u'AG']"
/home/arya/Desktop/shipmnts/OTH-M/978/1.jpg,[u'000 0000 0556 '],None,"[u'HEMOCUE', u'AB', u'CONS:']","[u'5,0', u'100,00', u'50,00', u'500,00', u'500,00']",261,MEDICAL TEST EQP,,"[u':', u'LUFTHANSA', u'CARGO', u'AG']"
/home/arya/Desktop/shipmnts/OTH-M/978/3.jpg,"[u'000 0000 0556 ', u'000 0000 0556 ', u'000 0000 0556 ']",None,"[u'HEMOCUE', u'AB', u'CONS:', u'DHR', u'HOLDING']","[u'100,00', u'50,00', u'500,00', u'500,00']",261,MEDICAL TEST EOP,,"[u':', u'CARGO', u'AG']"
/home/arya/Desktop/shipmnts/OTH-M/978/10.jpg,"[u'000 0000 0556 ', u'000 0000 0556 ', u'000 0000 0556 ']",None,"[u'HOGANAS', u'SWEDEN', u'AB', u'HOGANAS', u'INDIA']","[u'100,00', u'50,00', u'500,00', u'500,00']",261,PARTS FOR BELT,,[u':']
/home/arya/Desktop/shipmnts/OTH-M/978/4.jpg,[u'000 0000 0556 '],None,"[u'HEMOCUE', u'AB', u'CONS:', u'DHR', u'HOLDING']","[u'100,00', u'50,00', u'500,00', u'500,00']",261,MEDICAL TEST EQOP,,"[u':', u'AG']"
/home/arya/Desktop/shipmnts/OTH-M/978/2.jpg,"[u'000 0000 0556 ', u'000 0000 0556 ', u'000 0000 0556 ']",None,"[u'HEMOCUE', u'AB', u'CONS:', u'DHR', u'HOLDING']","[u'100,00', u'50,00', u'500,00', u'500,00']",,MEDICAL TEST EQP,,"[u':', u'CARGO', u'AG']"
/home/arya/Desktop/shipmnts/OTH-M/978/7.jpg,"[u'000 0000 0556 ', u'000 0000 0556 ', u'000 0000 0556 ']",None,"[u'HOGANAS', u'SWEDEN', u'AB', u'HOGANAS', u'INDIA']","[u'100,00', u'50,00', u'500,00', u'500,00']",261,PARTS FOR BELTS,,[u':']
/home/arya/Desktop/shipmnts/OTH-M/978/5.jpg,[u'157-36490683'],None,"[u'HEMOCUE', u'AB', u'CONS:', u'DHR', u'HOLDING']","[u'2187,0', u'2187,0', u'100,00', u'50,00', u'500,00', u'500,00']",,MEDICAL TEST EQP,,current
/home/arya/Desktop/shipmnts/OTH-M/978/9.jpg,"[u'000 0000 0356 ', u'000 0000 0556 ']",None,"[u'HEMOCUE', u'AB', u'CONS:']","[u'100,00', u'50,00', u'500,00', u'500,00']",261,MEDICAL TEST EOP,,"[u':', u'LUFTHANSA', u'CARGO', u'AG']"
